rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2020-08-31,2020q2,601229.XSHG,208280231.824000,35181790.900000,1196.1897,1144.7953,0.3187
2020-08-31,2020q2,601328.XSHG,658944208.164000,191385044.500000,3512.627,1856.5659,0.4027
2020-08-31,2020q2,601577.XSHG,302345946.277500,41152299.200000,313.7565,91.272,2.4809
2020-08-31,2020q2,601818.XSHG,653223753.484500,229295505.600000,2015.5906,1528.7271,0.5002
2020-08-31,2020q2,601838.XSHG,902386199.197000,114457438.900000,367.0047,192.5152,3.7154
2020-08-31,2020q2,601916.XSHG,316103376.150500,99028089.150000,886.9047,106.335,2.4096
2020-08-31,2020q2,601997.XSHG,289496096.460500,47730021.550000,263.5565,253.5616,1.4297
2020-08-31,2020q2,601998.XSHG,158955016.795500,41352335.400000,2554.3983,1665.4514,0.0802
2020-08-31,2020q2,603323.XSHG,106734088.125500,29512959.000000,86.3669,65.2488,1.9898
2021-04-30,2020q4,002948.XSHE,49006938.109500,12873231.050000,225.0335,30.1921,1.679
2021-04-30,2020q4,600000.XSHG,463833476.262000,54274118.350000,2949.8905,2949.8905,0.5318
2021-04-30,2020q4,600016.XSHG,381168794.522500,104046280.600000,2057.7737,1666.7198,0.218
2021-04-30,2020q4,600908.XSHG,105886528.961000,21092894.850000,109.093,101.7859,1.2751
2021-04-30,2020q4,601077.XSHG,116530258.827500,39635083.100000,471.3155,243.7903,0.5488
2021-04-30,2020q4,601128.XSHG,148303455.590000,32895413.800000,190.2154,180.7412,2.1313
2021-04-30,2020q4,601166.XSHG,2111430531.974500,134156383.100000,4516.3091,4264.3555,0.6291
2021-04-30,2020q4,601229.XSHG,247889471.713000,41883480.550000,1162.094,1120.9753,0.4887
2021-04-30,2020q4,601288.XSHG,543654016.682000,227645572.000000,11199.4571,9409.7694,0.0885
2021-04-30,2020q4,601328.XSHG,471387874.061000,133842956.000000,3572.0372,1887.9666,0.4343
2021-04-30,2020q4,601398.XSHG,872260427.004000,221587187.950000,18283.641,13831.1065,0.1468
2021-04-30,2020q4,601658.XSHG,496758447.277500,116752764.150000,4702.344,573.8701,4.2698
2021-04-30,2020q4,601916.XSHG,66525841.321000,21936147.150000,840.1135,276.9205,0.4657
2021-04-30,2020q4,601988.XSHG,428347259.577000,175994141.850000,9567.6032,6849.8792,0.0761
2021-04-30,2020q4,601998.XSHG,134375791.007000,34528194.200000,2534.8247,1763.9286,0.1017
2021-04-30,2021q1,000001.XSHE,1497832613.003500,85576453.600000,4519.6383,4519.6002,0.2896
2021-04-30,2021q1,002142.XSHE,834273034.809500,24757649.100000,2537.1853,2503.5031,0.3235
2021-04-30,2021q1,002807.XSHE,48063722.934500,16675799.750000,89.7038,89.5976,0.6225
2021-04-30,2021q1,002936.XSHE,47091312.136500,15393358.300000,276.5198,60.9632,0.9011
2021-04-30,2021q1,002958.XSHE,67490708.054000,17686022.900000,238.3341,115.6381,0.6385
2021-04-30,2021q1,002966.XSHE,105992579.473500,20165124.050000,251.0,122.3439,2.2691
2021-04-30,2021q1,600036.XSHG,2391487380.317500,59792703.450000,13290.8586,10871.4537,0.2185
2021-04-30,2021q1,600919.XSHG,549738293.383500,116768467.900000,1044.2113,1036.1343,2.1218
2021-04-30,2021q1,600926.XSHG,315795582.128500,24016888.950000,980.8552,833.841,0.4113
2021-04-30,2021q1,601187.XSHG,82145389.785000,11375362.050000,224.062,22.4062,3.4223
