factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id,train_anchor_years
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.012478,-0.124595,0.576923,0.166667,2.085e-05,-0.00025204,0,fail_threshold_rule,-122.928582,expanding_04,8
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.06632,-0.389857,0.615385,0.0,3.875e-05,-0.0003159,0,fail_threshold_rule,-389.857316,expanding_04,8
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.044007,-0.054495,0.6,0.666667,-7.841e-05,3.607e-05,0,fail_threshold_rule,-47.828294,expanding_04,8
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,0.020471,0.101223,0.5,0.666667,2.608e-05,0.00027977,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,107.88995,expanding_04,8
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.064819,0.368446,0.538462,1.0,8.714e-05,0.00056268,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,378.446563,expanding_04,8
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.017871,-0.216394,0.48,0.333333,8.201e-05,-0.00087751,0,fail_threshold_rule,-213.061548,expanding_04,8
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.179773,-0.345066,0.695652,0.0,0.0002207,-0.00046715,0,fail_threshold_rule,-345.066467,expanding_04,8
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.06641,-0.009941,0.571429,0.333333,0.00030939,-4.544e-05,0,fail_threshold_rule,-6.607715,expanding_04,8
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.03061,0.091134,0.5,0.666667,0.0001284,-2.445e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,97.800646,expanding_04,8
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.028694,0.002008,0.625,0.5,0.00024725,-0.00026547,0,fail_threshold_rule,7.007735,expanding_04,8
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.099679,-0.043285,0.678571,0.333333,-0.0002793,-7.33e-05,0,fail_threshold_rule,-39.951743,expanding_05,9
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.04542,-0.078633,0.535714,0.333333,0.00020282,-0.00030333,0,fail_threshold_rule,-75.299973,expanding_05,9
