code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,ocf_to_operating_profit,147.88,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_total_revenue_year_on_year,8.8,indicator.csv,inc_total_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_total_revenue_annual,2.48,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_revenue_year_on_year,8.8,indicator.csv,inc_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_revenue_annual,2.48,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_operation_profit_year_on_year,24.36,indicator.csv,inc_operation_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_operation_profit_annual,17.92,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_net_profit_year_on_year,23.68,indicator.csv,inc_net_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_net_profit_annual,14.99,indicator.csv,inc_net_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_net_profit_to_shareholders_year_on_year,22.85,indicator.csv,inc_net_profit_to_shareholders_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-09-30,2022q3,,2022-10-29,inc_net_profit_to_shareholders_annual,14.55,indicator.csv,inc_net_profit_to_shareholders_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,eps,0.2068,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,adjusted_profit,1990730000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,operating_profit,2352169000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,value_change_profit,451234000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,roe,1.97,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_return,1.97,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,roa,0.17,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,net_profit_margin,34.1,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,expense_to_total_revenue,61.38,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,operation_profit_to_total_revenue,38.62,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,net_profit_to_total_revenue,34.1,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,ga_expense_to_total_revenue,36.24,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,operating_profit_to_profit,81.28,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,invesment_profit_to_profit,19.29,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,adjusted_profit_to_profit,99.8,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,ocf_to_revenue,1089.51,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,ocf_to_operating_profit,2820.94,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_total_revenue_year_on_year,1.3,indicator.csv,inc_total_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_total_revenue_annual,-8.71,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_revenue_year_on_year,1.3,indicator.csv,inc_revenue_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_revenue_annual,-8.71,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_operation_profit_year_on_year,-7.88,indicator.csv,inc_operation_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_operation_profit_annual,-41.24,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2022-12-31,2022q4,,2023-04-28,inc_net_profit_year_on_year,-1.62,indicator.csv,inc_net_profit_year_on_year,quarterly_direct,identity_q1_or_ytd_diff,
