schedule,rebalance_date,next_rebalance_date,hold_count,turnover_ratio,period_return,selected_codes
daily,2019-08-19,2019-08-20,5,0.4,-0.0036398942196220084,"600000.XSHG,601998.XSHG,601838.XSHG,600016.XSHG,600926.XSHG"
daily,2019-08-20,2019-08-21,5,0.6,-0.003165044184608656,"600926.XSHG,600000.XSHG,601997.XSHG,601229.XSHG,601288.XSHG"
daily,2019-08-21,2019-08-22,5,0.19999999999999996,-0.001548314149920782,"600000.XSHG,600926.XSHG,601988.XSHG,601288.XSHG,601997.XSHG"
daily,2019-08-22,2019-08-23,5,0.19999999999999996,0.006222116028371039,"600926.XSHG,601997.XSHG,600000.XSHG,601988.XSHG,601009.XSHG"
daily,2019-08-23,2019-08-26,5,0.6,-0.007118297692921249,"600926.XSHG,601288.XSHG,601229.XSHG,601988.XSHG,600919.XSHG"
daily,2019-08-26,2019-08-27,5,0.6,0.01278078422088127,"601997.XSHG,601838.XSHG,600926.XSHG,601166.XSHG,600919.XSHG"
daily,2019-08-27,2019-08-28,5,0.8,-0.011572227761400922,"601166.XSHG,601009.XSHG,601998.XSHG,000001.XSHE,002142.XSHE"
daily,2019-08-28,2019-08-29,5,0.8,-0.0007166343723840063,"600919.XSHG,000001.XSHE,600926.XSHG,601229.XSHG,601818.XSHG"
daily,2019-08-29,2019-08-30,5,0.4,-0.0023680147257587603,"600919.XSHG,000001.XSHE,600926.XSHG,601288.XSHG,601997.XSHG"
daily,2019-08-30,2019-09-02,5,0.19999999999999996,0.006354120289888354,"000001.XSHE,601997.XSHG,600919.XSHG,601288.XSHG,601939.XSHG"
daily,2019-09-02,2019-09-03,5,0.6,-0.002475525826740865,"601229.XSHG,600919.XSHG,601818.XSHG,000001.XSHE,601166.XSHG"
daily,2019-09-03,2019-09-04,5,0.19999999999999996,0.01366608190751104,"600000.XSHG,600919.XSHG,000001.XSHE,601818.XSHG,601166.XSHG"
daily,2019-09-04,2019-09-05,5,0.19999999999999996,0.018515005788059914,"000001.XSHE,002142.XSHE,601166.XSHG,601818.XSHG,600000.XSHG"
daily,2019-09-05,2019-09-06,5,0.4,0.008888074290138003,"000001.XSHE,601166.XSHG,600036.XSHG,002142.XSHE,601229.XSHG"
daily,2019-09-06,2019-09-09,5,0.4,-0.002835308819535598,"002142.XSHE,601166.XSHG,601939.XSHG,000001.XSHE,601997.XSHG"
daily,2019-09-09,2019-09-10,5,0.6,-0.005506218826398767,"600919.XSHG,601939.XSHG,601818.XSHG,000001.XSHE,600015.XSHG"
daily,2019-09-10,2019-09-11,5,0.4,0.005309125986956431,"601009.XSHG,601818.XSHG,002142.XSHE,600919.XSHG,000001.XSHE"
daily,2019-09-11,2019-09-12,5,0.19999999999999996,0.004901062143970902,"601166.XSHG,000001.XSHE,002142.XSHE,601009.XSHG,600919.XSHG"
daily,2019-09-12,2019-09-16,5,0.19999999999999996,-0.005462333029258182,"601009.XSHG,002142.XSHE,600919.XSHG,601166.XSHG,601328.XSHG"
daily,2019-09-16,2019-09-17,5,0.4,-0.015303835941875055,"601939.XSHG,601166.XSHG,601009.XSHG,601288.XSHG,002142.XSHE"
daily,2019-09-17,2019-09-18,5,0.6,0.0008954773578471409,"601939.XSHG,601166.XSHG,000001.XSHE,600036.XSHG,601398.XSHG"
daily,2019-09-18,2019-09-19,5,0.6,0.0019110159211850775,"601009.XSHG,600926.XSHG,601398.XSHG,601838.XSHG,601939.XSHG"
daily,2019-09-19,2019-09-20,5,0.4,0.0012338302661836886,"600926.XSHG,601939.XSHG,601818.XSHG,601838.XSHG,601166.XSHG"
daily,2019-09-20,2019-09-23,5,0.4,-0.01093242576027742,"600926.XSHG,601166.XSHG,601009.XSHG,601939.XSHG,601997.XSHG"
daily,2019-09-23,2019-09-24,5,0.6,-0.002987616606224597,"601166.XSHG,601818.XSHG,601288.XSHG,600926.XSHG,600016.XSHG"
daily,2019-09-24,2019-09-25,5,0.6,0.001713980599804188,"600919.XSHG,600926.XSHG,601577.XSHG,601328.XSHG,601288.XSHG"
daily,2019-09-25,2019-09-26,5,0.8,0.014918264756434808,"601166.XSHG,601288.XSHG,601169.XSHG,601838.XSHG,601818.XSHG"
daily,2019-09-26,2019-09-27,5,0.6,0.0012311183144246619,"601328.XSHG,601288.XSHG,601939.XSHG,601169.XSHG,000001.XSHE"
daily,2019-09-27,2019-09-30,5,0.6,-0.010444632586696923,"601169.XSHG,000001.XSHE,600926.XSHG,601577.XSHG,600015.XSHG"
