date,line,nav
2024-11-05,benchmark,1.1907999999999999
2024-11-06,benchmark,1.183
2024-11-07,benchmark,1.1987999999999999
2024-11-08,benchmark,1.1802
2024-11-11,benchmark,1.1636
2024-11-12,benchmark,1.1556
2024-11-13,benchmark,1.1647
2024-11-14,benchmark,1.1687
2024-11-15,benchmark,1.1686
2024-11-18,benchmark,1.1871
2024-11-19,benchmark,1.1818
2024-11-20,benchmark,1.1813
2024-11-21,benchmark,1.1804000000000001
2024-11-22,benchmark,1.1597
2024-11-25,benchmark,1.1648
2024-11-26,benchmark,1.1797
2024-11-27,benchmark,1.191
2024-11-28,benchmark,1.1912
2024-11-29,benchmark,1.1875
2024-12-02,benchmark,1.1724
2024-12-03,benchmark,1.1915
2024-12-04,benchmark,1.1975
2024-12-05,benchmark,1.2006000000000001
2024-12-06,benchmark,1.2103
2024-12-09,benchmark,1.2134
2024-12-10,benchmark,1.2264
2024-12-11,benchmark,1.2095
2024-12-12,benchmark,1.2237
2024-12-13,benchmark,1.2054
2024-12-16,benchmark,1.2295
2024-12-17,benchmark,1.2286
2024-12-18,benchmark,1.2432
2024-12-19,benchmark,1.23
2024-12-20,benchmark,1.2295
2024-12-23,benchmark,1.2543
2024-12-24,benchmark,1.2723
2024-12-25,benchmark,1.2851
2024-12-26,benchmark,1.2812999999999999
2024-12-27,benchmark,1.2787
2024-12-30,benchmark,1.2926
2024-12-31,benchmark,1.2857
2025-01-02,benchmark,1.2561
2025-01-03,benchmark,1.2407
2025-01-06,benchmark,1.2486
2025-01-07,benchmark,1.259
2025-01-08,benchmark,1.2747
2025-01-09,benchmark,1.2638
2025-01-10,benchmark,1.2558
2025-01-13,benchmark,1.2368999999999999
2025-01-14,benchmark,1.2499
2025-01-15,benchmark,1.2594
2025-01-16,benchmark,1.2702
2025-01-17,benchmark,1.2570999999999999
2025-01-20,benchmark,1.249
2025-01-21,benchmark,1.2492
2025-01-22,benchmark,1.2291
2025-01-23,benchmark,1.26
2025-01-24,benchmark,1.2597
2025-01-27,benchmark,1.2812999999999999
2025-02-05,benchmark,1.2594
2025-02-06,benchmark,1.2575
2025-02-07,benchmark,1.2502
2025-02-10,benchmark,1.2506
2025-02-11,benchmark,1.2728
2025-02-12,benchmark,1.2835
2025-02-13,benchmark,1.286
2025-02-14,benchmark,1.2884
2025-02-17,benchmark,1.2876
2025-02-18,benchmark,1.301
2025-02-19,benchmark,1.2955999999999999
2025-02-20,benchmark,1.2988
2025-02-21,benchmark,1.2788
2025-02-24,benchmark,1.2692999999999999
2025-02-25,benchmark,1.2568
2025-02-26,benchmark,1.2616
2025-02-27,benchmark,1.2731
2025-02-28,benchmark,1.2673
2025-03-03,benchmark,1.2654
2025-03-04,benchmark,1.2607
2025-03-05,benchmark,1.2842
2025-03-06,benchmark,1.2732999999999999
2025-03-07,benchmark,1.2681
2025-03-10,benchmark,1.2594
2025-03-11,benchmark,1.2709
2025-03-12,benchmark,1.2617
2025-03-13,benchmark,1.2654
2025-03-14,benchmark,1.2739
