code,statement_family,missing_reason,row_count
601528.XSHG,cash_flow,,546
601528.XSHG,cash_flow,missing_raw_value,155
601528.XSHG,cash_flow,outside_current_available_window,111
601528.XSHG,cash_flow,missing_prior_cumulative_report,2
601528.XSHG,indicator,,508
601528.XSHG,indicator,outside_current_available_window,93
601528.XSHG,indicator,missing_raw_value,81
601528.XSHG,balance,missing_raw_value,697
601528.XSHG,balance,,576
601528.XSHG,balance,outside_current_available_window,201
601528.XSHG,parent_balance,,462
601528.XSHG,parent_balance,missing_raw_value,388
601528.XSHG,parent_balance,outside_current_available_window,150
601528.XSHG,parent_balance,missing_target_report,100
601528.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601528.XSHG,bank_indicator,,113
601528.XSHG,bank_indicator,missing_raw_value,46
601577.XSHG,income,,407
601577.XSHG,income,outside_current_available_window,42
601577.XSHG,income,missing_raw_value,8
601577.XSHG,income,missing_prior_cumulative_report,5
601577.XSHG,cash_flow,,870
601577.XSHG,cash_flow,missing_raw_value,236
601577.XSHG,cash_flow,outside_current_available_window,111
601577.XSHG,cash_flow,missing_prior_cumulative_report,4
601577.XSHG,indicator,,805
601577.XSHG,indicator,missing_raw_value,125
601577.XSHG,indicator,outside_current_available_window,93
601577.XSHG,balance,missing_raw_value,1105
601577.XSHG,balance,,905
601577.XSHG,balance,outside_current_available_window,201
601577.XSHG,parent_balance,,801
601577.XSHG,parent_balance,missing_raw_value,649
601577.XSHG,parent_balance,outside_current_available_window,150
601577.XSHG,parent_balance,missing_target_report,50
601577.XSHG,bank_indicator,,251
601577.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601577.XSHG,bank_indicator,missing_raw_value,67
601658.XSHG,income,,349
601658.XSHG,income,outside_current_available_window,42
601658.XSHG,income,missing_raw_value,1
601658.XSHG,cash_flow,,658
601658.XSHG,cash_flow,missing_raw_value,252
601658.XSHG,cash_flow,outside_current_available_window,111
601658.XSHG,cash_flow,missing_prior_cumulative_report,15
601658.XSHG,indicator,,675
601658.XSHG,indicator,missing_raw_value,100
601658.XSHG,indicator,outside_current_available_window,93
601658.XSHG,balance,missing_raw_value,928
601658.XSHG,balance,,747
601658.XSHG,balance,outside_current_available_window,201
601658.XSHG,parent_balance,,664
601658.XSHG,parent_balance,missing_raw_value,586
601658.XSHG,parent_balance,outside_current_available_window,150
601658.XSHG,bank_indicator,,228
601658.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
601658.XSHG,bank_indicator,missing_raw_value,37
601665.XSHG,income,,257
601665.XSHG,income,outside_current_available_window,42
601665.XSHG,income,missing_raw_value,6
601665.XSHG,income,missing_prior_cumulative_report,3
601665.XSHG,cash_flow,,519
601665.XSHG,cash_flow,missing_raw_value,173
601665.XSHG,cash_flow,outside_current_available_window,111
601665.XSHG,cash_flow,missing_prior_cumulative_report,11
601665.XSHG,indicator,,508
601665.XSHG,indicator,outside_current_available_window,93
601665.XSHG,indicator,missing_raw_value,81
601665.XSHG,balance,missing_raw_value,662
601665.XSHG,balance,,611
601665.XSHG,balance,outside_current_available_window,201
601665.XSHG,parent_balance,,543
601665.XSHG,parent_balance,missing_raw_value,407
601665.XSHG,parent_balance,outside_current_available_window,150
601665.XSHG,bank_indicator,provider_unavailable_annual_bank_indicator,159
